"TIME","GEO","INDIC_HE","SEX","UNIT","Value","Flag and Footnotes"
"2004","Czechia","Health expectancy in absolute values at birth ","Total","Year",":",""
"2004","Czechia","Health expectancy in absolute values at birth ","Males","Year",":",""
"2004","Czechia","Health expectancy in absolute values at birth ","Females","Year",":",""
"2004","Czechia","Health expectancy in absolute values at 50","Total","Year",":",""
"2004","Czechia","Health expectancy in absolute values at 50","Males","Year",":",""
"2004","Czechia","Health expectancy in absolute values at 50","Females","Year",":",""
"2004","Czechia","Health expectancy in absolute values at 65","Total","Year",":",""
"2004","Czechia","Health expectancy in absolute values at 65","Males","Year",":",""
"2004","Czechia","Health expectancy in absolute values at 65","Females","Year",":",""
"2004","Denmark","Health expectancy in absolute values at birth ","Total","Year","72.9",""
"2004","Denmark","Health expectancy in absolute values at birth ","Males","Year","71.6",""
"2004","Denmark","Health expectancy in absolute values at birth ","Females","Year","74.2",""
"2004","Denmark","Health expectancy in absolute values at 50","Total","Year","26.1",""
"2004","Denmark","Health expectancy in absolute values at 50","Males","Year","24.9",""
"2004","Denmark","Health expectancy in absolute values at 50","Females","Year","27.2",""
"2004","Denmark","Health expectancy in absolute values at 65","Total","Year","14.8",""
"2004","Denmark","Health expectancy in absolute values at 65","Males","Year","13.9",""
"2004","Denmark","Health expectancy in absolute values at 65","Females","Year","15.4",""
"2004","Germany (until 1990 former territory of the FRG)","Health expectancy in absolute values at birth ","Total","Year",":",""
"2004","Germany (until 1990 former territory of the FRG)","Health expectancy in absolute values at birth ","Males","Year",":",""
"2004","Germany (until 1990 former territory of the FRG)","Health expectancy in absolute values at birth ","Females","Year",":",""
"2004","Germany (until 1990 former territory of the FRG)","Health expectancy in absolute values at 50","Total","Year",":",""
"2004","Germany (until 1990 former territory of the FRG)","Health expectancy in absolute values at 50","Males","Year",":",""
"2004","Germany (until 1990 former territory of the FRG)","Health expectancy in absolute values at 50","Females","Year",":",""
"2004","Germany (until 1990 former territory of the FRG)","Health expectancy in absolute values at 65","Total","Year",":",""
"2004","Germany (until 1990 former territory of the FRG)","Health expectancy in absolute values at 65","Males","Year",":",""
"2004","Germany (until 1990 former territory of the FRG)","Health expectancy in absolute values at 65","Females","Year",":",""
"2004","Estonia","Health expectancy in absolute values at birth ","Total","Year","63.5",""
"2004","Estonia","Health expectancy in absolute values at birth ","Males","Year","60.0",""
"2004","Estonia","Health expectancy in absolute values at birth ","Females","Year","67.1",""
"2004","Estonia","Health expectancy in absolute values at 50","Total","Year","18.6",""
"2004","Estonia","Health expectancy in absolute values at 50","Males","Year","16.5",""
"2004","Estonia","Health expectancy in absolute values at 50","Females","Year","20.4",""
"2004","Estonia","Health expectancy in absolute values at 65","Total","Year","9.1",""
"2004","Estonia","Health expectancy in absolute values at 65","Males","Year","8.4",""
"2004","Estonia","Health expectancy in absolute values at 65","Females","Year","9.7",""
"2004","Ireland","Health expectancy in absolute values at birth ","Total","Year","75.5",""
"2004","Ireland","Health expectancy in absolute values at birth ","Males","Year","73.4",""
"2004","Ireland","Health expectancy in absolute values at birth ","Females","Year","77.7",""
"2004","Ireland","Health expectancy in absolute values at 50","Total","Year","28.0",""
"2004","Ireland","Health expectancy in absolute values at 50","Males","Year","26.3",""
"2004","Ireland","Health expectancy in absolute values at 50","Females","Year","29.8",""
"2004","Ireland","Health expectancy in absolute values at 65","Total","Year","15.8",""
"2004","Ireland","Health expectancy in absolute values at 65","Males","Year","14.5",""
"2004","Ireland","Health expectancy in absolute values at 65","Females","Year","17.0",""
"2004","Greece","Health expectancy in absolute values at birth ","Total","Year","72.8",""
"2004","Greece","Health expectancy in absolute values at birth ","Males","Year","71.4",""
"2004","Greece","Health expectancy in absolute values at birth ","Females","Year","74.3",""
"2004","Greece","Health expectancy in absolute values at 50","Total","Year","25.2",""
"2004","Greece","Health expectancy in absolute values at 50","Males","Year","24.4",""
"2004","Greece","Health expectancy in absolute values at 50","Females","Year","25.9",""
"2004","Greece","Health expectancy in absolute values at 65","Total","Year","13.2",""
"2004","Greece","Health expectancy in absolute values at 65","Males","Year","13.0",""
"2004","Greece","Health expectancy in absolute values at 65","Females","Year","13.4",""
"2004","Spain","Health expectancy in absolute values at birth ","Total","Year","70.0",""
"2004","Spain","Health expectancy in absolute values at birth ","Males","Year","68.8",""
"2004","Spain","Health expectancy in absolute values at birth ","Females","Year","71.3",""
"2004","Spain","Health expectancy in absolute values at 50","Total","Year","23.2",""
"2004","Spain","Health expectancy in absolute values at 50","Males","Year","22.4",""
"2004","Spain","Health expectancy in absolute values at 50","Females","Year","24.0",""
"2004","Spain","Health expectancy in absolute values at 65","Total","Year","12.4",""
"2004","Spain","Health expectancy in absolute values at 65","Males","Year","11.8",""
"2004","Spain","Health expectancy in absolute values at 65","Females","Year","12.8",""
"2004","France","Health expectancy in absolute values at birth ","Total","Year","72.3",""
"2004","France","Health expectancy in absolute values at birth ","Males","Year","69.7",""
"2004","France","Health expectancy in absolute values at birth ","Females","Year","74.8",""
"2004","France","Health expectancy in absolute values at 50","Total","Year","25.7",""
"2004","France","Health expectancy in absolute values at 50","Males","Year","23.6",""
"2004","France","Health expectancy in absolute values at 50","Females","Year","27.6",""
"2004","France","Health expectancy in absolute values at 65","Total","Year","14.6",""
"2004","France","Health expectancy in absolute values at 65","Males","Year","13.1",""
"2004","France","Health expectancy in absolute values at 65","Females","Year","15.9",""
"2004","Croatia","Health expectancy in absolute values at birth ","Total","Year",":",""
"2004","Croatia","Health expectancy in absolute values at birth ","Males","Year",":",""
"2004","Croatia","Health expectancy in absolute values at birth ","Females","Year",":",""
"2004","Croatia","Health expectancy in absolute values at 50","Total","Year",":",""
"2004","Croatia","Health expectancy in absolute values at 50","Males","Year",":",""
"2004","Croatia","Health expectancy in absolute values at 50","Females","Year",":",""
"2004","Croatia","Health expectancy in absolute values at 65","Total","Year",":",""
"2004","Croatia","Health expectancy in absolute values at 65","Males","Year",":",""
"2004","Croatia","Health expectancy in absolute values at 65","Females","Year",":",""
"2004","Italy","Health expectancy in absolute values at birth ","Total","Year","73.2",""
"2004","Italy","Health expectancy in absolute values at birth ","Males","Year","71.9",""
"2004","Italy","Health expectancy in absolute values at birth ","Females","Year","74.5",""
"2004","Italy","Health expectancy in absolute values at 50","Total","Year","25.7",""
"2004","Italy","Health expectancy in absolute values at 50","Males","Year","24.7",""
"2004","Italy","Health expectancy in absolute values at 50","Females","Year","26.5",""
"2004","Italy","Health expectancy in absolute values at 65","Total","Year","13.7",""
"2004","Italy","Health expectancy in absolute values at 65","Males","Year","13.0",""
"2004","Italy","Health expectancy in absolute values at 65","Females","Year","14.2",""
"2004","Cyprus","Health expectancy in absolute values at birth ","Total","Year",":",""
"2004","Cyprus","Health expectancy in absolute values at birth ","Males","Year",":",""
"2004","Cyprus","Health expectancy in absolute values at birth ","Females","Year",":",""
"2004","Cyprus","Health expectancy in absolute values at 50","Total","Year",":",""
"2004","Cyprus","Health expectancy in absolute values at 50","Males","Year",":",""
"2004","Cyprus","Health expectancy in absolute values at 50","Females","Year",":",""
"2004","Cyprus","Health expectancy in absolute values at 65","Total","Year",":",""
"2004","Cyprus","Health expectancy in absolute values at 65","Males","Year",":",""
"2004","Cyprus","Health expectancy in absolute values at 65","Females","Year",":",""
"2004","Latvia","Health expectancy in absolute values at birth ","Total","Year",":",""
"2004","Latvia","Health expectancy in absolute values at birth ","Males","Year",":",""
"2004","Latvia","Health expectancy in absolute values at birth ","Females","Year",":",""
"2004","Latvia","Health expectancy in absolute values at 50","Total","Year",":",""
"2004","Latvia","Health expectancy in absolute values at 50","Males","Year",":",""
"2004","Latvia","Health expectancy in absolute values at 50","Females","Year",":",""
"2004","Latvia","Health expectancy in absolute values at 65","Total","Year",":",""
"2004","Latvia","Health expectancy in absolute values at 65","Males","Year",":",""
"2004","Latvia","Health expectancy in absolute values at 65","Females","Year",":",""
"2004","Lithuania","Health expectancy in absolute values at birth ","Total","Year",":",""
"2004","Lithuania","Health expectancy in absolute values at birth ","Males","Year",":",""
"2004","Lithuania","Health expectancy in absolute values at birth ","Females","Year",":",""
"2004","Lithuania","Health expectancy in absolute values at 50","Total","Year",":",""
"2004","Lithuania","Health expectancy in absolute values at 50","Males","Year",":",""
"2004","Lithuania","Health expectancy in absolute values at 50","Females","Year",":",""
"2004","Lithuania","Health expectancy in absolute values at 65","Total","Year",":",""
"2004","Lithuania","Health expectancy in absolute values at 65","Males","Year",":",""
"2004","Lithuania","Health expectancy in absolute values at 65","Females","Year",":",""
"2004","Luxembourg","Health expectancy in absolute values at birth ","Total","Year","71.5",""
"2004","Luxembourg","Health expectancy in absolute values at birth ","Males","Year","70.2",""
"2004","Luxembourg","Health expectancy in absolute values at birth ","Females","Year","72.8",""
"2004","Luxembourg","Health expectancy in absolute values at 50","Total","Year","24.9",""
"2004","Luxembourg","Health expectancy in absolute values at 50","Males","Year","23.8",""
"2004","Luxembourg","Health expectancy in absolute values at 50","Females","Year","25.8",""
"2004","Luxembourg","Health expectancy in absolute values at 65","Total","Year","14.1",""
"2004","Luxembourg","Health expectancy in absolute values at 65","Males","Year","13.6",""
"2004","Luxembourg","Health expectancy in absolute values at 65","Females","Year","14.3",""
"2004","Hungary","Health expectancy in absolute values at birth ","Total","Year",":",""
"2004","Hungary","Health expectancy in absolute values at birth ","Males","Year",":",""
"2004","Hungary","Health expectancy in absolute values at birth ","Females","Year",":",""
"2004","Hungary","Health expectancy in absolute values at 50","Total","Year",":",""
"2004","Hungary","Health expectancy in absolute values at 50","Males","Year",":",""
"2004","Hungary","Health expectancy in absolute values at 50","Females","Year",":",""
"2004","Hungary","Health expectancy in absolute values at 65","Total","Year",":",""
"2004","Hungary","Health expectancy in absolute values at 65","Males","Year",":",""
"2004","Hungary","Health expectancy in absolute values at 65","Females","Year",":",""
"2004","Malta","Health expectancy in absolute values at birth ","Total","Year",":",""
"2004","Malta","Health expectancy in absolute values at birth ","Males","Year",":",""
"2004","Malta","Health expectancy in absolute values at birth ","Females","Year",":",""
"2004","Malta","Health expectancy in absolute values at 50","Total","Year",":",""
"2004","Malta","Health expectancy in absolute values at 50","Males","Year",":",""
"2004","Malta","Health expectancy in absolute values at 50","Females","Year",":",""
"2004","Malta","Health expectancy in absolute values at 65","Total","Year",":",""
"2004","Malta","Health expectancy in absolute values at 65","Males","Year",":",""
"2004","Malta","Health expectancy in absolute values at 65","Females","Year",":",""
"2004","Netherlands","Health expectancy in absolute values at birth ","Total","Year",":",""
"2004","Netherlands","Health expectancy in absolute values at birth ","Males","Year",":",""
"2004","Netherlands","Health expectancy in absolute values at birth ","Females","Year",":",""
"2004","Netherlands","Health expectancy in absolute values at 50","Total","Year",":",""
"2004","Netherlands","Health expectancy in absolute values at 50","Males","Year",":",""
"2004","Netherlands","Health expectancy in absolute values at 50","Females","Year",":",""
"2004","Netherlands","Health expectancy in absolute values at 65","Total","Year",":",""
"2004","Netherlands","Health expectancy in absolute values at 65","Males","Year",":",""
"2004","Netherlands","Health expectancy in absolute values at 65","Females","Year",":",""
"2004","Austria","Health expectancy in absolute values at birth ","Total","Year","72.8",""
"2004","Austria","Health expectancy in absolute values at birth ","Males","Year","70.6",""
"2004","Austria","Health expectancy in absolute values at birth ","Females","Year","74.9",""
"2004","Austria","Health expectancy in absolute values at 50","Total","Year","25.6",""
"2004","Austria","Health expectancy in absolute values at 50","Males","Year","24.0",""
"2004","Austria","Health expectancy in absolute values at 50","Females","Year","27.1",""
"2004","Austria","Health expectancy in absolute values at 65","Total","Year","14.1",""
"2004","Austria","Health expectancy in absolute values at 65","Males","Year","13.2",""
"2004","Austria","Health expectancy in absolute values at 65","Females","Year","14.7",""
"2004","Poland","Health expectancy in absolute values at birth ","Total","Year",":",""
"2004","Poland","Health expectancy in absolute values at birth ","Males","Year",":",""
"2004","Poland","Health expectancy in absolute values at birth ","Females","Year",":",""
"2004","Poland","Health expectancy in absolute values at 50","Total","Year",":",""
"2004","Poland","Health expectancy in absolute values at 50","Males","Year",":",""
"2004","Poland","Health expectancy in absolute values at 50","Females","Year",":",""
"2004","Poland","Health expectancy in absolute values at 65","Total","Year",":",""
"2004","Poland","Health expectancy in absolute values at 65","Males","Year",":",""
"2004","Poland","Health expectancy in absolute values at 65","Females","Year",":",""
"2004","Portugal","Health expectancy in absolute values at birth ","Total","Year","63.5",""
"2004","Portugal","Health expectancy in absolute values at birth ","Males","Year","63.7",""
"2004","Portugal","Health expectancy in absolute values at birth ","Females","Year","63.3",""
"2004","Portugal","Health expectancy in absolute values at 50","Total","Year","17.6",""
"2004","Portugal","Health expectancy in absolute values at 50","Males","Year","18.3",""
"2004","Portugal","Health expectancy in absolute values at 50","Females","Year","17.0",""
"2004","Portugal","Health expectancy in absolute values at 65","Total","Year","8.1",""
"2004","Portugal","Health expectancy in absolute values at 65","Males","Year","8.5",""
"2004","Portugal","Health expectancy in absolute values at 65","Females","Year","7.7",""
"2004","Romania","Health expectancy in absolute values at birth ","Total","Year",":",""
"2004","Romania","Health expectancy in absolute values at birth ","Males","Year",":",""
"2004","Romania","Health expectancy in absolute values at birth ","Females","Year",":",""
"2004","Romania","Health expectancy in absolute values at 50","Total","Year",":",""
"2004","Romania","Health expectancy in absolute values at 50","Males","Year",":",""
"2004","Romania","Health expectancy in absolute values at 50","Females","Year",":",""
"2004","Romania","Health expectancy in absolute values at 65","Total","Year",":",""
"2004","Romania","Health expectancy in absolute values at 65","Males","Year",":",""
"2004","Romania","Health expectancy in absolute values at 65","Females","Year",":",""
"2004","Slovenia","Health expectancy in absolute values at birth ","Total","Year",":",""
"2004","Slovenia","Health expectancy in absolute values at birth ","Males","Year",":",""
"2004","Slovenia","Health expectancy in absolute values at birth ","Females","Year",":",""
"2004","Slovenia","Health expectancy in absolute values at 50","Total","Year",":",""
"2004","Slovenia","Health expectancy in absolute values at 50","Males","Year",":",""
"2004","Slovenia","Health expectancy in absolute values at 50","Females","Year",":",""
"2004","Slovenia","Health expectancy in absolute values at 65","Total","Year",":",""
"2004","Slovenia","Health expectancy in absolute values at 65","Males","Year",":",""
"2004","Slovenia","Health expectancy in absolute values at 65","Females","Year",":",""
"2004","Slovakia","Health expectancy in absolute values at birth ","Total","Year",":",""
"2004","Slovakia","Health expectancy in absolute values at birth ","Males","Year",":",""
"2004","Slovakia","Health expectancy in absolute values at birth ","Females","Year",":",""
"2004","Slovakia","Health expectancy in absolute values at 50","Total","Year",":",""
"2004","Slovakia","Health expectancy in absolute values at 50","Males","Year",":",""
"2004","Slovakia","Health expectancy in absolute values at 50","Females","Year",":",""
"2004","Slovakia","Health expectancy in absolute values at 65","Total","Year",":",""
"2004","Slovakia","Health expectancy in absolute values at 65","Males","Year",":",""
"2004","Slovakia","Health expectancy in absolute values at 65","Females","Year",":",""
"2004","Finland","Health expectancy in absolute values at birth ","Total","Year","71.9",""
"2004","Finland","Health expectancy in absolute values at birth ","Males","Year","69.0",""
"2004","Finland","Health expectancy in absolute values at birth ","Females","Year","74.7",""
"2004","Finland","Health expectancy in absolute values at 50","Total","Year","24.9",""
"2004","Finland","Health expectancy in absolute values at 50","Males","Year","22.7",""
"2004","Finland","Health expectancy in absolute values at 50","Females","Year","27.1",""
"2004","Finland","Health expectancy in absolute values at 65","Total","Year","13.7",""
"2004","Finland","Health expectancy in absolute values at 65","Males","Year","12.3",""
"2004","Finland","Health expectancy in absolute values at 65","Females","Year","14.8",""
"2004","Sweden","Health expectancy in absolute values at birth ","Total","Year","75.5",""
"2004","Sweden","Health expectancy in absolute values at birth ","Males","Year","74.2",""
"2004","Sweden","Health expectancy in absolute values at birth ","Females","Year","76.7",""
"2004","Sweden","Health expectancy in absolute values at 50","Total","Year","28.7",""
"2004","Sweden","Health expectancy in absolute values at 50","Males","Year","27.6",""
"2004","Sweden","Health expectancy in absolute values at 50","Females","Year","29.8",""
"2004","Sweden","Health expectancy in absolute values at 65","Total","Year","16.8",""
"2004","Sweden","Health expectancy in absolute values at 65","Males","Year","15.8",""
"2004","Sweden","Health expectancy in absolute values at 65","Females","Year","17.8",""
"2004","United Kingdom","Health expectancy in absolute values at birth ","Total","Year",":",""
"2004","United Kingdom","Health expectancy in absolute values at birth ","Males","Year",":",""
"2004","United Kingdom","Health expectancy in absolute values at birth ","Females","Year",":",""
"2004","United Kingdom","Health expectancy in absolute values at 50","Total","Year",":",""
"2004","United Kingdom","Health expectancy in absolute values at 50","Males","Year",":",""
"2004","United Kingdom","Health expectancy in absolute values at 50","Females","Year",":",""
"2004","United Kingdom","Health expectancy in absolute values at 65","Total","Year",":",""
"2004","United Kingdom","Health expectancy in absolute values at 65","Males","Year",":",""
"2004","United Kingdom","Health expectancy in absolute values at 65","Females","Year",":",""
"2004","Iceland","Health expectancy in absolute values at birth ","Total","Year","75.2",""
"2004","Iceland","Health expectancy in absolute values at birth ","Males","Year","75.1",""
"2004","Iceland","Health expectancy in absolute values at birth ","Females","Year","75.3",""
"2004","Iceland","Health expectancy in absolute values at 50","Total","Year","28.2",""
"2004","Iceland","Health expectancy in absolute values at 50","Males","Year","27.8",""
"2004","Iceland","Health expectancy in absolute values at 50","Females","Year","28.7",""
"2004","Iceland","Health expectancy in absolute values at 65","Total","Year","15.8",""
"2004","Iceland","Health expectancy in absolute values at 65","Males","Year","15.1",""
"2004","Iceland","Health expectancy in absolute values at 65","Females","Year","16.4",""
"2004","Norway","Health expectancy in absolute values at birth ","Total","Year","74.0",""
"2004","Norway","Health expectancy in absolute values at birth ","Males","Year","72.9",""
"2004","Norway","Health expectancy in absolute values at birth ","Females","Year","75.1",""
"2004","Norway","Health expectancy in absolute values at 50","Total","Year","27.6",""
"2004","Norway","Health expectancy in absolute values at 50","Males","Year","26.5",""
"2004","Norway","Health expectancy in absolute values at 50","Females","Year","28.7",""
"2004","Norway","Health expectancy in absolute values at 65","Total","Year","16.0",""
"2004","Norway","Health expectancy in absolute values at 65","Males","Year","14.7",""
"2004","Norway","Health expectancy in absolute values at 65","Females","Year","17.1",""
"2004","Switzerland","Health expectancy in absolute values at birth ","Total","Year",":",""
"2004","Switzerland","Health expectancy in absolute values at birth ","Males","Year",":",""
"2004","Switzerland","Health expectancy in absolute values at birth ","Females","Year",":",""
"2004","Switzerland","Health expectancy in absolute values at 50","Total","Year",":",""
"2004","Switzerland","Health expectancy in absolute values at 50","Males","Year",":",""
"2004","Switzerland","Health expectancy in absolute values at 50","Females","Year",":",""
"2004","Switzerland","Health expectancy in absolute values at 65","Total","Year",":",""
"2004","Switzerland","Health expectancy in absolute values at 65","Males","Year",":",""
"2004","Switzerland","Health expectancy in absolute values at 65","Females","Year",":",""
"2005","European Union - 27 countries (from 2020)","Health expectancy in absolute values at birth ","Total","Year","70.4","e"
"2005","European Union - 27 countries (from 2020)","Health expectancy in absolute values at birth ","Males","Year","68.6","e"
"2005","European Union - 27 countries (from 2020)","Health expectancy in absolute values at birth ","Females","Year","72.1","e"
"2005","European Union - 27 countries (from 2020)","Health expectancy in absolute values at 50","Total","Year","23.7","e"
"2005","European Union - 27 countries (from 2020)","Health expectancy in absolute values at 50","Males","Year","22.4","e"
"2005","European Union - 27 countries (from 2020)","Health expectancy in absolute values at 50","Females","Year","24.9","e"
"2005","European Union - 27 countries (from 2020)","Health expectancy in absolute values at 65","Total","Year","12.8","e"
"2005","European Union - 27 countries (from 2020)","Health expectancy in absolute values at 65","Males","Year","12.1","e"
"2005","European Union - 27 countries (from 2020)","Health expectancy in absolute values at 65","Females","Year","13.4","e"
"2005","European Union - 28 countries (2013-2020)","Health expectancy in absolute values at birth ","Total","Year","70.8","e"
"2005","European Union - 28 countries (2013-2020)","Health expectancy in absolute values at birth ","Males","Year","69.0","e"
"2005","European Union - 28 countries (2013-2020)","Health expectancy in absolute values at birth ","Females","Year","72.6","e"
"2005","European Union - 28 countries (2013-2020)","Health expectancy in absolute values at 50","Total","Year","24.1","e"
"2005","European Union - 28 countries (2013-2020)","Health expectancy in absolute values at 50","Males","Year","22.8","e"
"2005","European Union - 28 countries (2013-2020)","Health expectancy in absolute values at 50","Females","Year","25.4","e"
"2005","European Union - 28 countries (2013-2020)","Health expectancy in absolute values at 65","Total","Year","13.2","e"
"2005","European Union - 28 countries (2013-2020)","Health expectancy in absolute values at 65","Males","Year","12.4","e"
"2005","European Union - 28 countries (2013-2020)","Health expectancy in absolute values at 65","Females","Year","13.9","e"
"2005","European Union - 27 countries (2007-2013)","Health expectancy in absolute values at birth ","Total","Year",":",""
"2005","European Union - 27 countries (2007-2013)","Health expectancy in absolute values at birth ","Males","Year","69","e"
"2005","European Union - 27 countries (2007-2013)","Health expectancy in absolute values at birth ","Females","Year","72.5","e"
"2005","European Union - 27 countries (2007-2013)","Health expectancy in absolute values at 50","Total","Year",":",""
"2005","European Union - 27 countries (2007-2013)","Health expectancy in absolute values at 50","Males","Year","22.8","e"
"2005","European Union - 27 countries (2007-2013)","Health expectancy in absolute values at 50","Females","Year","25.2","e"
"2005","European Union - 27 countries (2007-2013)","Health expectancy in absolute values at 65","Total","Year",":",""
"2005","European Union - 27 countries (2007-2013)","Health expectancy in absolute values at 65","Males","Year","12.4","e"
"2005","European Union - 27 countries (2007-2013)","Health expectancy in absolute values at 65","Females","Year","13.8","e"
"2005","Belgium","Health expectancy in absolute values at birth ","Total","Year","73.3",""
"2005","Belgium","Health expectancy in absolute values at birth ","Males","Year","71.7",""
"2005","Belgium","Health expectancy in absolute values at birth ","Females","Year","74.9",""
"2005","Belgium","Health expectancy in absolute values at 50","Total","Year","26.5",""
"2005","Belgium","Health expectancy in absolute values at 50","Males","Year","25.1",""
"2005","Belgium","Health expectancy in absolute values at 50","Females","Year","27.9",""
"2005","Belgium","Health expectancy in absolute values at 65","Total","Year","15.3",""
"2005","Belgium","Health expectancy in absolute values at 65","Males","Year","14.2",""
"2005","Belgium","Health expectancy in absolute values at 65","Females","Year","16.2",""
"2005","Bulgaria","Health expectancy in absolute values at birth ","Total","Year",":",""
"2005","Bulgaria","Health expectancy in absolute values at birth ","Males","Year",":",""
"2005","Bulgaria","Health expectancy in absolute values at birth ","Females","Year",":",""
"2005","Bulgaria","Health expectancy in absolute values at 50","Total","Year",":",""
"2005","Bulgaria","Health expectancy in absolute values at 50","Males","Year",":",""
"2005","Bulgaria","Health expectancy in absolute values at 50","Females","Year",":",""
"2005","Bulgaria","Health expectancy in absolute values at 65","Total","Year",":",""
"2005","Bulgaria","Health expectancy in absolute values at 65","Males","Year",":",""
"2005","Bulgaria","Health expectancy in absolute values at 65","Females","Year",":",""
"2005","Czechia","Health expectancy in absolute values at birth ","Total","Year","67.7",""
"2005","Czechia","Health expectancy in absolute values at birth ","Males","Year","65.8",""
"2005","Czechia","Health expectancy in absolute values at birth ","Females","Year","69.5",""
"2005","Czechia","Health expectancy in absolute values at 50","Total","Year","21.0",""
"2005","Czechia","Health expectancy in absolute values at 50","Males","Year","19.7",""
"2005","Czechia","Health expectancy in absolute values at 50","Females","Year","22.2",""
"2005","Czechia","Health expectancy in absolute values at 65","Total","Year","10.6",""
"2005","Czechia","Health expectancy in absolute values at 65","Males","Year","9.8",""
"2005","Czechia","Health expectancy in absolute values at 65","Females","Year","11.3",""
"2005","Denmark","Health expectancy in absolute values at birth ","Total","Year","73.7",""
"2005","Denmark","Health expectancy in absolute values at birth ","Males","Year","72.5",""
"2005","Denmark","Health expectancy in absolute values at birth ","Females","Year","74.9",""
"2005","Denmark","Health expectancy in absolute values at 50","Total","Year","26.8",""
"2005","Denmark","Health expectancy in absolute values at 50","Males","Year","25.6",""
"2005","Denmark","Health expectancy in absolute values at 50","Females","Year","28.0",""
"2005","Denmark","Health expectancy in absolute values at 65","Total","Year","15.4",""
"2005","Denmark","Health expectancy in absolute values at 65","Males","Year","14.3",""
"2005","Denmark","Health expectancy in absolute values at 65","Females","Year","16.4",""
